timestamps,#packets,#bytes,#unique_IP_sources,#unique_IP_destinations
1551394800,30397666.75, 1746120075.4,425128.78333333,12122875.983333
1551398400,29655748.4, 1455375550.1667,434437.6,12334828.216667
1551402000,29307219.583333, 1456779247.5,459363.58333333,12220098.916667
1551405600,30164398.116667, 1647136005.7333,474004.2,12365119.65
1551409200,28995129.1, 1447333430.55,483489.48333333,12246545.083333
1551412800,30339148.166667, 1463495532.4333,498267.03333333,12155592.316667
1551416400,31574505.5, 1499379797.2833,517559.13333333,12537485.75
1551420000,33174877.7, 1720723688.9167,528090.13333333,12328972.983333
1551423600,32238863.25, 1569616178.2333,536612.93333333,12784904.683333
1551427200,32793358.733333, 1511189277.6,534591.78333333,12664046.8
1551430800,33471916.8, 1578879895.75,527739.46666667,12883804.616667
1551434400,33338335.533333, 1584629572.9833,520881.71666667,12833586.833333
1551438000,31469326.766667, 1581312382.1167,518312.28333333,12245040.583333
1551441600,32433186.016667, 1538606646.8167,529859.8,12794171.116667
1551445200,30708663.75, 1632201316.5667,540399.1,12301914.6
1551448800,30492090.833333, 1460761249.8333,545173.98333333,12096851.233333
1551452400,29061899.2, 1484744183.4667,549729.36666667,11981665.166667
1551456000,28516234.166667, 1619712836.2667,528978.16666667,11880588.933333
1551459600,30948814.566667, 1660454772.4667,510651.15,12236738.316667
1551463200,29657100.95, 1655460774.85,492765.61666667,12076504.95
1551466800,30318179.9, 1676374031.5833,471465.28333333,12212236.033333
1551470400,30069379.35, 1657593587.0333,446700.25,12056057.166667
1551474000,37614059.966667, 2049052706.8667,428922.31666667,12923169.733333
1551477600,40376892.1, 1968564903.65,420586.83333333,13057538.283333
1551481200,29910044.033333, 1372921747,422741.06666667,12203597.266667
1551484800,30785139.55, 1495437714.4833,429502.25,12453594.566667
1551488400,30478289.916667, 1430164319.5833,448962.31666667,12339445.333333
1551492000,31216990.516667, 1465363660.45,462214.46666667,12507445.266667
1551495600,31124863.95, 1480247872.35,474016.4,12257482.666667
1551499200,30124943.316667, 1451049786.85,486353.81666667,12259616.016667
1551502800,30361302.766667, 1533487547.25,501101,12411806.166667
1551506400,30243303.45, 1395926493.3667,512332.88333333,12348018.583333
1551510000,29134014.383333, 1363469937.8167,520478.11666667,12330681.15
1551513600,30546906.433333, 1577897992.7667,524720.01666667,12375953.933333
1551517200,33126442.633333, 1657249796.25,521027.25,12787430.633333
1551520800,31568969.283333, 1441293231.2333,517571.41666667,12371530.05
1551524400,31566493.333333, 1431410214.0333,519813.45,12653976
1551528000,31277243.25, 1555405380.3833,523393.2,12516121.15
1551531600,30150687.6, 1424444383.9833,531291.95,12451331.583333
1551535200,35658853.4, 1772531507.0167,537188.88333333,12766052.566667
1551538800,34577548.666667, 1657730559.05,546064.36666667,12570763.666667
1551542400,35114787.033333, 1643345286.1,536388.58333333,12621878.566667
1551546000,33514920.066667, 1613625556.0167,515648.63333333,12302029.166667
1551549600,34559376.666667, 1745691704.4167,497139.78333333,12491983.166667
1551553200,35391919.816667, 1725482749.1167,472168.73333333,12627685.316667
1551556800,33622223.616667, 1571147297.95,450585.86666667,12329350.85
1551560400,34581312.833333, 1586754247.75,434866.13333333,12466307.95
1551564000,35760811.316667, 1800931468.7,423110.21666667,12650879.9
1551567600,34016260.716667, 1576204048.1,422552.33333333,12401172.766667
1551571200,34736905.183333, 1599129167.2167,424716.25,12534789.8
1551574800,34304062.583333, 1588704317.75,439475.01666667,12449004.966667
1551578400,34185205.983333, 1573906227.1667,453104.66666667,12443277.983333
1551582000,35135196.116667, 1758987006.05,463413.15,12599615.85
1551585600,34975857.7, 1613461138.35,474130.7,12426798.683333
1551589200,34889838.5, 1695753791.8333,481727.36666667,12514492.266667
1551592800,35889038.316667, 1689021718.8333,493358.05,12410785.7
1551596400,30492122.633333, 1517391278.4667,505174.81666667,12359318.9
1551600000,30161293.516667, 1404014324.1167,511623.61666667,12440554.466667
1551603600,31591520.366667, 1457893706.7,512121.91666667,12581192.65
1551607200,31694366.716667, 1501184059.35,515016.8,12499653.716667
1551610800,34480235.55, 1921087611.3667,516740.91666667,12917313.566667
1551614400,31399505.45, 1677856122.15,527879.13333333,12591705.983333
1551618000,32142245.4, 1472959901.8167,538368.9,12590498.583333
1551621600,32039293.933333, 1570463746.5833,542651.03333333,12780596.716667
1551625200,41696917.383333, 1817225390,471171.18333333,10944653.533333
1551628800,38851661.016667, 1673036778.9,466675.4,11216431.25
